,Unnamed: 0.1,Unnamed: 0,identificación,id_host,latitud,longitud,se adapta,noches_mínimo,noches_maximas,noches_mínimo_avg_ntm,máximas_noches_avg_ntm,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,número_de_reseñas,número_de_reviews_ltm,número_de_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_comunicación,review_scores_location,review_scores_value,calculado_host_listings_count,listados_host_calculados_recuento_casas_enteras,calculado_host_listings_count_private_rooms,calculado_host_listings_count_shared_rooms
0,0,0,48154.0,219476,39.48375,-0.37502,4.0,3.0,25,3.3,24.5,13,32,59,149,171.0,32.0,3.0,4.61,4.68,4.63,4.84,4.79,4.51,4.52,4.0,4.0,0.0,0.0
1,1,1,137143.0,670775,39.5,-0.31932,7.0,10.0,170,10.0,170.0,1,11,31,94,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0
2,2,2,149715.0,5947,39.46746,-0.32813,3.4,2.0,1125,2.1,1125.0,9,21,47,306,269.0,37.0,3.0,4.66,4.7,4.55,4.84,4.89,4.6,4.63,1.0,1.0,0.0,0.0
3,3,3,165971.0,791187,39.4679,-0.38206,5.0,5.0,10,5.0,1125.0,4,9,33,79,35.7,55.0,4.0,4.87,4.9,4.88,4.89,4.87,4.84,4.85,6.0,6.0,0.0,0.0
4,4,4,169284.0,806645,39.46759,-0.39067,3.0,2.0,1125,2.0,1125.0,1,10,29,280,160.0,36.0,2.0,4.41,4.64,4.44,4.74,4.78,4.52,4.41,8.0,5.0,3.0,0.0
5,5,5,182221.0,1315567,39.46343,-0.34325,5.0,3.0,50,3.0,50.0,25,55,82,357,8.0,1.0,0.0,4.5,4.38,4.38,4.63,4.63,4.25,4.38,2.0,2.0,0.0,0.0
6,6,6,192674.0,933504,39.48002,-0.38021,5.0,4.0,365,4.0,365.0,2,6,26,39,171.0,31.0,4.0,4.84,4.89,4.81,4.98,4.98,4.91,4.78,6.0,6.0,0.0,0.0
7,7,7,193326.0,937597,39.473,-0.32897,2.0,1.0,1125,1.0,1125.0,15,40,67,148,35.7,61.0,1.1,4.87,4.89,4.91,4.91,4.94,4.77,4.8,2.0,0.0,2.0,0.0
8,8,8,225070.0,937597,39.47152,-0.33123,1.0,1.0,365,1.0,365.0,6,34,64,145,244.0,45.0,1.1,4.84,4.87,4.93,4.89,4.94,4.76,4.78,2.0,0.0,2.0,0.0
9,9,9,250981.0,1315567,39.46233,-0.34263,5.0,3.0,60,3.1,60.0,29,59,86,361,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.33,2.0,2.0,0.0,0.0
10,10,10,253764.0,1332880,39.466515,-0.325345,5.0,3.0,60,4.0,60.0,9,26,53,233,63.0,15.0,0.0,4.46,4.47,4.42,4.76,4.77,4.77,4.35,2.0,2.0,0.0,0.0
11,11,11,260929.0,140702,39.47507,-0.36296,2.0,2.0,60,2.0,60.0,8,17,42,59,141.0,33.0,3.0,4.7,4.83,4.58,4.87,4.86,4.85,4.67,3.0,0.0,3.0,0.0
12,12,12,260935.0,140702,39.47505,-0.36282,2.0,2.0,60,2.0,60.0,14,41,67,67,35.7,30.0,0.0,4.7,4.78,4.64,4.86,4.85,4.87,4.68,3.0,0.0,3.0,0.0
13,13,13,265340.0,1391644,39.46232,-0.37508,2.0,14.0,330,14.0,330.0,0,0,0,232,94.0,0.0,0.0,4.7,4.84,4.74,4.62,4.68,4.95,4.74,1.0,1.0,0.0,0.0
14,14,14,273373.0,1387923,39.48183,-0.32578,3.4,3.0,365,3.0,365.0,14,41,68,239,133.0,19.0,3.0,4.58,4.59,4.31,4.85,4.83,4.84,4.33,8.0,8.0,0.0,0.0
15,15,15,276455.0,1444357,39.47317,-0.33932,1.0,2.0,14,2.0,14.0,1,1,30,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16,16,16,288057.0,1497590,39.48367,-0.37377,3.0,4.0,99,5.0,1125.0,6,22,47,291,140.0,20.0,1.0,4.7,4.81,4.59,4.87,4.84,4.77,4.64,3.0,3.0,0.0,0.0
17,17,17,308525.0,1504505,39.47328,-0.38588,3.0,14.0,1125,13.8,1125.0,1,4,5,79,200.0,10.0,1.0,4.81,4.85,4.83,4.92,4.94,4.81,4.82,1.0,1.0,0.0,0.0
18,18,18,313137.0,1610077,39.46359,-0.37359,3.0,5.0,1125,30.5,1125.0,0,2,32,307,73.0,7.0,0.0,4.74,4.83,4.76,4.86,4.9,4.93,4.76,1.0,1.0,0.0,0.0
19,19,19,323609.0,1332880,39.466515,-0.325345,5.0,3.0,365,4.0,365.0,18,28,28,33,35.0,9.0,1.0,4.32,4.31,4.29,4.74,4.54,4.66,4.09,2.0,2.0,0.0,0.0
